ID,Source,loc_key,score_Expert,label_Expert,score_EWM,label_EWM,score_CRITIC,label_CRITIC,score_AHP,label_AHP,score_Multiplicative,label_Multiplicative,score_MeanDev,label_MeanDev
3119.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3121.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3123.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3132.0,4-5,location4,0.5886895710587363,高风险,0.4169772062622808,高风险,0.7087063631109802,高风险,0.8913985836604953,高风险,0.6571380904619004,高风险,0.6723607176779188,高风险
3138.0,4-5,location4,0.5388472993660581,高风险,0.409115911406567,高风险,0.6048302222931136,高风险,0.7615812971745981,高风险,0.5839545666167061,高风险,0.5918424769580929,高风险
3139.0,4-5,location4,0.316957245436376,中风险,0.18795566094706934,低风险,0.4467430653507886,高风险,0.4989716973055457,高风险,0.35691812157863745,高风险,0.37789014120113457,高风险
3158.0,4-5,location4,0.07764256602023545,低风险,0.031115374295859966,低风险,0.13164838901010473,低风险,0.16485731436043247,低风险,0.1019383375140318,低风险,0.10920702588879906,低风险
3164.0,4-5,location4,0.3969282030106982,高风险,0.26697778886608803,中风险,0.5005072585826037,高风险,0.6290974586183223,高风险,0.4521412933150994,高风险,0.465527502022338,高风险
3165.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3171.0,4-5,location4,0.31650323027832405,中风险,0.12683914224823747,低风险,0.5366533142629024,高风险,0.6720266369930027,高风险,0.41554284931778823,高风险,0.4451730311680476,高风险
3179.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3181.0,4-5,location4,0.08963304834053333,低风险,0.0359205779941345,低风险,0.15197908854558836,低风险,0.1903165284814003,低风险,0.11768085990057939,低风险,0.12607206500704107,低风险
3189.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3204.0,4-5,location4,0.15289491313076245,低风险,0.06127286479373678,低风险,0.2592439950562539,中风险,0.3246395121915457,中风险,0.20073851313518154,中风险,0.2150521240138455,中风险
3205.0,4-5,location4,0.2555925749607861,中风险,0.14822967088360242,低风险,0.3652167260366134,高风险,0.4118971899655443,高风险,0.2910596984829743,中风险,0.3084478622952534,中风险
